method,n,rmse_log,mae_log,rmse_volume,mae_volume
Bayesian Gompertz MAP,8603,0.46156445075050945,0.4077127077867312,0.6993549543961317,0.14605026947712502
MAP-based mechanistic correction,8603,0.26187252265355054,0.17169917586303693,0.45319959456130027,0.09105403688924886
