method_display,n,rmse_log,mae_log,rmse_volume,mae_volume,method
Population ridge regression,300,0.5159300854563201,0.36508965628298495,1.40395047626038,0.7610380210897936,ridge
Polynomial ridge regression,300,0.5392819279055983,0.38659634867207243,1.5138895089154096,0.8074262530405686,poly_ridge
RBF kernel ridge regression,300,0.5275150935966612,0.3738961706124759,1.3916058895037384,0.7709126320963339,krr
Gaussian process regression,300,0.5298324043032543,0.37644258301633227,1.452597791756707,0.793406900014399,gp
Distance-weighted kNN regression,300,0.5655548257542042,0.40763257463315594,1.584047927080409,0.8513154723391666,knn
