Method,RMSE_log,MAE_volume,p_log,p_vol,r_rb_log,r_rb_vol,p_log_fmt,p_vol_fmt
Bayesian Gompertz,0.5662328023263598,0.855082692612363,3.6266020352820272e-06,2.2861599087349336e-05,0.2988261351052049,0.2715393133997785,3.6\times10^{-6},2.3\times10^{-5}
Linear extrapolation,3.928359608730487,1.056489493290888,1.4987517747680614e-06,1.563126946604813e-06,0.311140642303433,0.31056478405315613,1.5\times10^{-6},1.6\times10^{-6}
Log-linear / VDT extrapolation,0.7402024627195312,1.450503382328831,7.026776500290318e-10,4.3753381540311336e-10,0.4033222591362126,0.40837209302325583,7.0\times10^{-10},4.4\times10^{-10}
Gaussian process regression,0.529832402443202,0.7934068971762677,0.3953750281668473,0.2458477762579065,0.017674418604651163,0.04580287929125138,0.395,0.246
Residual PINN MAP only,0.5971992244929764,1.0323402912788273,0.00016595616981415455,3.7298000182752617e-06,0.23906976744186045,0.29842746400885933,1.7\times10^{-4},3.7\times10^{-6}
NLS Gompertz,0.6047741092559216,1.2278912461053553,0.00020020126559402234,3.4283389931861776e-06,0.23579180509413067,0.2996234772978959,2.0\times10^{-4},3.4\times10^{-6}
Proposed mechanistic correction framework,0.5279477031919317,0.7636375619618805,,,,,--,--
